tanggal,harga
2022-01-03,71250.0
2022-01-04,66250.0
2022-01-05,58900.0
2022-01-06,49900.0
2022-01-07,54900.0
2022-01-10,42650.0
2022-01-11,40000.0
2022-01-12,41900.0
2022-01-13,43150.0
2022-01-14,40250.0
2022-01-17,38400.0
2022-01-18,37900.0
2022-01-19,37900.0
2022-01-20,37150.0
2022-01-21,34650.0
2022-01-24,32250.0
2022-01-25,28250.0
2022-01-26,28900.0
2022-01-27,29750.0
2022-01-28,26500.0
2022-01-31,26750.0
2022-02-02,26750.0
2022-02-03,28250.0
2022-02-04,32500.0
2022-02-07,32000.0
2022-02-08,35250.0
2022-02-09,36500.0
2022-02-10,35250.0
2022-02-11,36250.0
2022-02-14,35750.0
2022-02-15,37750.0
2022-02-16,38750.0
2022-02-17,38750.0
2022-02-18,40250.0
2022-02-21,43000.0
2022-02-22,44750.0
2022-02-23,47250.0
2022-02-24,50000.0
2022-02-25,50000.0
2022-03-01,56250.0
2022-03-02,56250.0
2022-03-04,56250.0
2022-03-07,59900.0
2022-03-08,59750.0
2022-03-09,56250.0
2022-03-10,52500.0
2022-03-11,49500.0
2022-03-14,53400.0
2022-03-15,52750.0
2022-03-16,49750.0
2022-03-17,49250.0
2022-03-18,49750.0
2022-03-21,54000.0
2022-03-22,53150.0
2022-03-23,51900.0
2022-03-24,45900.0
2022-03-25,46400.0
2022-03-28,45400.0
2022-03-29,43650.0
2022-03-30,43650.0
2022-03-31,43900.0
2022-04-01,41650.0
2022-04-04,40400.0
2022-04-05,42650.0
2022-04-06,41400.0
2022-04-07,40000.0
2022-04-08,36750.0
2022-04-11,33150.0
2022-04-12,25150.0
2022-04-13,24900.0
2022-04-14,24650.0
2022-04-18,24000.0
2022-04-19,24900.0
2022-04-20,24750.0
2022-04-21,24000.0
2022-04-22,23500.0
2022-04-25,23500.0
2022-04-26,23250.0
2022-04-27,24000.0
2022-04-28,24000.0
2022-05-09,23000.0
2022-05-10,22500.0
2022-05-11,23000.0
2022-05-12,22500.0
2022-05-13,25900.0
2022-05-17,29650.0
2022-05-18,29750.0
2022-05-19,35900.0
2022-05-20,38750.0
2022-05-23,37000.0
2022-05-24,42650.0
2022-05-25,45000.0
2022-05-27,46250.0
2022-05-30,47000.0
2022-05-31,52500.0
2022-06-02,53650.0
2022-06-03,71650.0
2022-06-06,73500.0
2022-06-07,73500.0
2022-06-08,73500.0
2022-06-09,73500.0
2022-06-10,72250.0
2022-06-13,73000.0
2022-06-14,76000.0
2022-06-15,81000.0
2022-06-16,83500.0
2022-06-17,78500.0
2022-06-20,79150.0
2022-06-21,81650.0
2022-06-22,78500.0
2022-06-23,76900.0
2022-06-24,86900.0
2022-06-27,78150.0
2022-06-28,81900.0
2022-06-29,83150.0
2022-06-30,82500.0
2022-07-01,77150.0
2022-07-04,83900.0
2022-07-05,88250.0
2022-07-06,88250.0
2022-07-07,87000.0
2022-07-08,85000.0
2022-07-11,81250.0
2022-07-12,83150.0
2022-07-13,81250.0
2022-07-14,76250.0
2022-07-15,73500.0
2022-07-18,71000.0
2022-07-19,68150.0
2022-07-20,63750.0
2022-07-21,63150.0
2022-07-22,61250.0
2022-07-25,59400.0
2022-07-26,59000.0
2022-07-27,56750.0
2022-07-28,56900.0
2022-07-29,60250.0
2022-08-01,61000.0
2022-08-02,59650.0
2022-08-03,59500.0
2022-08-04,57150.0
2022-08-05,55650.0
2022-08-08,54150.0
2022-08-09,54400.0
2022-08-10,55000.0
