tanggal,harga,hari_dalam_seminggu,bulan,kuartal,hari_dalam_bulan,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,selisih_1hari,selisih_7hari,rasio_vs_mean30,hari_ke_hr,hari_sejak_hr,fase,fase_normal,fase_pasca,fase_persiapan,fase_puncak
2022-02-15,37750.0,1,2,1,15,35750.0,36250.0,35250.0,32500.0,28250.0,40250.0,34785.71428571428,31332.14285714286,38868.333333333336,1799.470821684979,3879.7108904410347,-500.0,3250.0,0.9197718794219801,16,999,normal,1,0,0,0
2022-02-16,38750.0,2,2,1,16,37750.0,35750.0,36250.0,32000.0,28900.0,38400.0,35535.71428571428,32010.714285714286,37751.666666666664,1782.019988130217,4122.3676249414,2000.0,5750.0,0.999955851838771,15,999,normal,1,0,0,0
2022-02-17,38750.0,3,2,1,17,38750.0,37750.0,35750.0,35250.0,29750.0,37900.0,36500.0,32714.285714285714,36835.0,1314.977819838437,4382.940204379361,1000.0,3500.0,1.0519885978010044,14,999,normal,1,0,0,0
2022-02-18,40250.0,4,2,1,18,38750.0,38750.0,37750.0,36500.0,26500.0,37900.0,37000.0,33357.142857142855,36163.333333333336,1421.5601757694658,4570.720240452665,0.0,2250.0,1.0715273297078072,13,999,normal,1,0,0,0
2022-02-21,43000.0,0,2,1,21,40250.0,38750.0,38750.0,35250.0,26750.0,37150.0,37535.71428571428,34339.28571428572,35841.666666666664,1845.1996923808224,4459.871443966007,1500.0,5000.0,1.1229946524064172,10,999,pasca,0,1,0,0
2022-02-22,44750.0,1,2,1,22,43000.0,40250.0,38750.0,36250.0,26750.0,34650.0,38642.857142857145,35500.0,35445.0,2465.8380204014843,4447.341470344534,2750.0,6750.0,1.2131471293553393,9,999,pasca,0,1,0,0
2022-02-23,47250.0,2,2,1,23,44750.0,43000.0,40250.0,35750.0,28250.0,32250.0,39857.142857142855,36785.71428571428,35515.0,3101.9387178866323,4323.3012925233625,1750.0,9000.0,1.2600309728283823,8,999,pasca,0,1,0,0
2022-02-24,50000.0,3,2,1,24,47250.0,44750.0,43000.0,37750.0,32500.0,28250.0,41500.0,38142.857142857145,35756.666666666664,3573.630273731975,4418.834563671626,2500.0,9500.0,1.3214319008110376,7,999,pasca,0,1,0,0
2022-02-25,50000.0,4,2,1,25,50000.0,47250.0,44750.0,38750.0,32000.0,28900.0,43250.0,39392.857142857145,36026.666666666664,4346.933785248361,5119.452237182344,2750.0,11250.0,1.3878608438193931,6,999,pasca,0,1,0,0
2022-03-01,56250.0,1,3,1,1,50000.0,50000.0,47250.0,38750.0,35250.0,29750.0,44857.142857142855,40678.57142857143,36255.0,4483.435120104981,5373.929742666996,0.0,11250.0,1.3791201213625708,2,999,puncak,0,0,0,1
2022-03-02,56250.0,2,3,1,2,56250.0,50000.0,50000.0,40250.0,36500.0,26500.0,47357.142857142855,42178.57142857143,36788.333333333336,5312.832622640273,6545.277636636924,6250.0,16000.0,1.529017351515426,1,999,puncak,0,0,0,1
2022-03-04,56250.0,4,3,1,4,56250.0,56250.0,50000.0,43000.0,35250.0,26750.0,49642.857142857145,43589.28571428572,37383.333333333336,5185.832348124781,7310.823866322844,0.0,13250.0,1.504681230494873,96,1,normal,1,0,0,0
2022-03-07,59900.0,0,3,1,7,56250.0,56250.0,56250.0,44750.0,36250.0,26750.0,51535.71428571428,45089.28571428572,37995.0,4757.512855624123,7616.15637392563,0.0,11500.0,1.4804579549940782,93,4,normal,1,0,0,0
2022-03-08,59750.0,1,3,1,8,59900.0,56250.0,56250.0,47250.0,35750.0,28250.0,53700.0,46778.57142857143,38728.333333333336,4599.456489630078,8111.476065183453,3650.0,12650.0,1.546671257046951,92,5,normal,1,0,0,0
2022-03-09,56250.0,2,3,1,9,59750.0,59900.0,56250.0,50000.0,37750.0,32500.0,55485.71428571428,48492.857142857145,39481.666666666664,4074.485068254492,8137.445666670962,-150.0,9750.0,1.5133606315167378,91,6,normal,1,0,0,0
2022-03-10,52500.0,3,3,1,10,56250.0,59750.0,59900.0,50000.0,38750.0,32000.0,56378.57142857143,49814.28571428572,40201.666666666664,3279.209399491672,7751.685389231582,-3500.0,6250.0,1.3991957215704158,90,7,normal,1,0,0,0
2022-03-11,49500.0,4,3,1,11,52500.0,56250.0,59750.0,56250.0,38750.0,35250.0,56735.71428571428,50796.42857142857,40876.666666666664,2516.067415252517,7084.339833683931,-3750.0,-3750.0,1.2843513006605236,89,8,normal,1,0,0,0
2022-03-14,53400.0,0,3,1,14,49500.0,52500.0,56250.0,56250.0,40250.0,36500.0,55771.42857142857,51564.28571428572,41585.0,3732.610474236656,6206.399568541779,-3000.0,-6750.0,1.1903330527834555,86,11,normal,1,0,0,0
